"Id1","Id2","Geog.","NumberOfHouseholds"
"14000US10001041900","10001041900","Census Tract 419, Kent County, Delaware",1964
"14000US10001042000","10001042000","Census Tract 420, Kent County, Delaware",1200
"14000US10001042100","10001042100","Census Tract 421, Kent County, Delaware",1618
"14000US10001040100","10001040100","Census Tract 401, Kent County, Delaware",2388
"14000US10001040201","10001040201","Census Tract 402.01, Kent County, Delaware",1953
"14000US10001040202","10001040202","Census Tract 402.02, Kent County, Delaware",4350
"14000US10001040203","10001040203","Census Tract 402.03, Kent County, Delaware",1865
"14000US10001040501","10001040501","Census Tract 405.01, Kent County, Delaware",2061
"14000US10001040502","10001040502","Census Tract 405.02, Kent County, Delaware",921
"14000US10001040700","10001040700","Census Tract 407, Kent County, Delaware",2087
"14000US10001040900","10001040900","Census Tract 409, Kent County, Delaware",1205
"14000US10001041000","10001041000","Census Tract 410, Kent County, Delaware",2570
"14000US10001041100","10001041100","Census Tract 411, Kent County, Delaware",800
"14000US10001041200","10001041200","Census Tract 412, Kent County, Delaware",1880
"14000US10001041300","10001041300","Census Tract 413, Kent County, Delaware",1067
"14000US10001041400","10001041400","Census Tract 414, Kent County, Delaware",1746
"14000US10001041500","10001041500","Census Tract 415, Kent County, Delaware",1661
"14000US10001041600","10001041600","Census Tract 416, Kent County, Delaware",929
"14000US10001041701","10001041701","Census Tract 417.01, Kent County, Delaware",2384
"14000US10001041702","10001041702","Census Tract 417.02, Kent County, Delaware",1454
"14000US10001041801","10001041801","Census Tract 418.01, Kent County, Delaware",3650
"14000US10001041802","10001041802","Census Tract 418.02, Kent County, Delaware",1894
"14000US10001042201","10001042201","Census Tract 422.01, Kent County, Delaware",3483
"14000US10001042202","10001042202","Census Tract 422.02, Kent County, Delaware",3301
"14000US10001042500","10001042500","Census Tract 425, Kent County, Delaware",1635
"14000US10001042800","10001042800","Census Tract 428, Kent County, Delaware",2872
"14000US10001042900","10001042900","Census Tract 429, Kent County, Delaware",1756
"14000US10001043000","10001043000","Census Tract 430, Kent County, Delaware",2210
"14000US10001043100","10001043100","Census Tract 431, Kent County, Delaware",1025
"14000US10001043202","10001043202","Census Tract 432.02, Kent County, Delaware",1886
"14000US10001043300","10001043300","Census Tract 433, Kent County, Delaware",1984
"14000US10001043400","10001043400","Census Tract 434, Kent County, Delaware",1764
"14000US10001990000","10001990000","Census Tract 9900, Kent County, Delaware",0
"14000US10003000200","10003000200","Census Tract 2, New Castle County, Delaware",2604
"14000US10003000300","10003000300","Census Tract 3, New Castle County, Delaware",1379
"14000US10003000400","10003000400","Census Tract 4, New Castle County, Delaware",1653
"14000US10003000500","10003000500","Census Tract 5, New Castle County, Delaware",1468
"14000US10003000601","10003000601","Census Tract 6.01, New Castle County, Delaware",1022
"14000US10003000602","10003000602","Census Tract 6.02, New Castle County, Delaware",1499
"14000US10003000900","10003000900","Census Tract 9, New Castle County, Delaware",980
"14000US10003001100","10003001100","Census Tract 11, New Castle County, Delaware",2635
"14000US10003001200","10003001200","Census Tract 12, New Castle County, Delaware",946
"14000US10003001300","10003001300","Census Tract 13, New Castle County, Delaware",1973
"14000US10003001400","10003001400","Census Tract 14, New Castle County, Delaware",1060
"14000US10003001500","10003001500","Census Tract 15, New Castle County, Delaware",1329
"14000US10003001600","10003001600","Census Tract 16, New Castle County, Delaware",1239
"14000US10003001902","10003001902","Census Tract 19.02, New Castle County, Delaware",1134
"14000US10003002100","10003002100","Census Tract 21, New Castle County, Delaware",1000
"14000US10003002200","10003002200","Census Tract 22, New Castle County, Delaware",1162
"14000US10003002300","10003002300","Census Tract 23, New Castle County, Delaware",1302
"14000US10003002400","10003002400","Census Tract 24, New Castle County, Delaware",2341
"14000US10003002500","10003002500","Census Tract 25, New Castle County, Delaware",1502
"14000US10003002600","10003002600","Census Tract 26, New Castle County, Delaware",1570
"14000US10003002700","10003002700","Census Tract 27, New Castle County, Delaware",849
"14000US10003002800","10003002800","Census Tract 28, New Castle County, Delaware",1180
"14000US10003002900","10003002900","Census Tract 29, New Castle County, Delaware",1816
"14000US10003003002","10003003002","Census Tract 30.02, New Castle County, Delaware",836
"14000US10003010101","10003010101","Census Tract 101.01, New Castle County, Delaware",2215
"14000US10003010104","10003010104","Census Tract 101.04, New Castle County, Delaware",1751
"14000US10003010200","10003010200","Census Tract 102, New Castle County, Delaware",740
"14000US10003010300","10003010300","Census Tract 103, New Castle County, Delaware",1274
"14000US10003010400","10003010400","Census Tract 104, New Castle County, Delaware",2035
"14000US10003010502","10003010502","Census Tract 105.02, New Castle County, Delaware",2676
"14000US10003010702","10003010702","Census Tract 107.02, New Castle County, Delaware",2649
"14000US10003010800","10003010800","Census Tract 108, New Castle County, Delaware",2007
"14000US10003010900","10003010900","Census Tract 109, New Castle County, Delaware",1097
"14000US10003011000","10003011000","Census Tract 110, New Castle County, Delaware",1249
"14000US10003011100","10003011100","Census Tract 111, New Castle County, Delaware",1205
"14000US10003011201","10003011201","Census Tract 112.01, New Castle County, Delaware",847
"14000US10003011202","10003011202","Census Tract 112.02, New Castle County, Delaware",1512
"14000US10003011203","10003011203","Census Tract 112.03, New Castle County, Delaware",2096
"14000US10003011204","10003011204","Census Tract 112.04, New Castle County, Delaware",1451
"14000US10003011205","10003011205","Census Tract 112.05, New Castle County, Delaware",759
"14000US10003011206","10003011206","Census Tract 112.06, New Castle County, Delaware",1595
"14000US10003011300","10003011300","Census Tract 113, New Castle County, Delaware",979
"14000US10003011400","10003011400","Census Tract 114, New Castle County, Delaware",1342
"14000US10003011500","10003011500","Census Tract 115, New Castle County, Delaware",1245
"14000US10003011600","10003011600","Census Tract 116, New Castle County, Delaware",1390
"14000US10003011700","10003011700","Census Tract 117, New Castle County, Delaware",1736
"14000US10003011800","10003011800","Census Tract 118, New Castle County, Delaware",2101
"14000US10003011900","10003011900","Census Tract 119, New Castle County, Delaware",1295
"14000US10003012000","10003012000","Census Tract 120, New Castle County, Delaware",1771
"14000US10003012100","10003012100","Census Tract 121, New Castle County, Delaware",1219
"14000US10003012200","10003012200","Census Tract 122, New Castle County, Delaware",1947
"14000US10003012300","10003012300","Census Tract 123, New Castle County, Delaware",1058
"14000US10003012400","10003012400","Census Tract 124, New Castle County, Delaware",1851
"14000US10003012500","10003012500","Census Tract 125, New Castle County, Delaware",2289
"14000US10003012600","10003012600","Census Tract 126, New Castle County, Delaware",1080
"14000US10003012700","10003012700","Census Tract 127, New Castle County, Delaware",1997
"14000US10003012900","10003012900","Census Tract 129, New Castle County, Delaware",2082
"14000US10003013000","10003013000","Census Tract 130, New Castle County, Delaware",771
"14000US10003013100","10003013100","Census Tract 131, New Castle County, Delaware",1060
"14000US10003013200","10003013200","Census Tract 132, New Castle County, Delaware",1039
"14000US10003013300","10003013300","Census Tract 133, New Castle County, Delaware",772
"14000US10003013400","10003013400","Census Tract 134, New Castle County, Delaware",1070
"14000US10003013501","10003013501","Census Tract 135.01, New Castle County, Delaware",2459
"14000US10003013503","10003013503","Census Tract 135.03, New Castle County, Delaware",2535
"14000US10003013505","10003013505","Census Tract 135.05, New Castle County, Delaware",1143
"14000US10003013506","10003013506","Census Tract 135.06, New Castle County, Delaware",1645
"14000US10003013604","10003013604","Census Tract 136.04, New Castle County, Delaware",1627
"14000US10003013607","10003013607","Census Tract 136.07, New Castle County, Delaware",3000
"14000US10003013608","10003013608","Census Tract 136.08, New Castle County, Delaware",777
"14000US10003013610","10003013610","Census Tract 136.10, New Castle County, Delaware",2114
"14000US10003013611","10003013611","Census Tract 136.11, New Castle County, Delaware",2589
"14000US10003013612","10003013612","Census Tract 136.12, New Castle County, Delaware",2273
"14000US10003013613","10003013613","Census Tract 136.13, New Castle County, Delaware",2142
"14000US10003013614","10003013614","Census Tract 136.14, New Castle County, Delaware",1386
"14000US10003013615","10003013615","Census Tract 136.15, New Castle County, Delaware",1938
"14000US10003013700","10003013700","Census Tract 137, New Castle County, Delaware",1737
"14000US10003013800","10003013800","Census Tract 138, New Castle County, Delaware",2199
"14000US10003013901","10003013901","Census Tract 139.01, New Castle County, Delaware",1312
"14000US10003013903","10003013903","Census Tract 139.03, New Castle County, Delaware",1637
"14000US10003013904","10003013904","Census Tract 139.04, New Castle County, Delaware",2977
"14000US10003014000","10003014000","Census Tract 140, New Castle County, Delaware",2272
"14000US10003014100","10003014100","Census Tract 141, New Castle County, Delaware",1861
"14000US10003014200","10003014200","Census Tract 142, New Castle County, Delaware",682
"14000US10003014300","10003014300","Census Tract 143, New Castle County, Delaware",1709
"14000US10003014402","10003014402","Census Tract 144.02, New Castle County, Delaware",1448
"14000US10003014403","10003014403","Census Tract 144.03, New Castle County, Delaware",1656
"14000US10003014404","10003014404","Census Tract 144.04, New Castle County, Delaware",1531
"14000US10003014501","10003014501","Census Tract 145.01, New Castle County, Delaware",939
"14000US10003014502","10003014502","Census Tract 145.02, New Castle County, Delaware",1441
"14000US10003014702","10003014702","Census Tract 147.02, New Castle County, Delaware",749
"14000US10003014703","10003014703","Census Tract 147.03, New Castle County, Delaware",2023
"14000US10003014705","10003014705","Census Tract 147.05, New Castle County, Delaware",2097
"14000US10003014706","10003014706","Census Tract 147.06, New Castle County, Delaware",1071
"14000US10003014803","10003014803","Census Tract 148.03, New Castle County, Delaware",1776
"14000US10003014805","10003014805","Census Tract 148.05, New Castle County, Delaware",3431
"14000US10003014807","10003014807","Census Tract 148.07, New Castle County, Delaware",2998
"14000US10003014808","10003014808","Census Tract 148.08, New Castle County, Delaware",2537
"14000US10003014809","10003014809","Census Tract 148.09, New Castle County, Delaware",3029
"14000US10003014810","10003014810","Census Tract 148.10, New Castle County, Delaware",2605
"14000US10003014903","10003014903","Census Tract 149.03, New Castle County, Delaware",2288
"14000US10003014904","10003014904","Census Tract 149.04, New Castle County, Delaware",2170
"14000US10003014906","10003014906","Census Tract 149.06, New Castle County, Delaware",1960
"14000US10003014907","10003014907","Census Tract 149.07, New Castle County, Delaware",1919
"14000US10003014908","10003014908","Census Tract 149.08, New Castle County, Delaware",1033
"14000US10003014909","10003014909","Census Tract 149.09, New Castle County, Delaware",2473
"14000US10003015000","10003015000","Census Tract 150, New Castle County, Delaware",2129
"14000US10003015100","10003015100","Census Tract 151, New Castle County, Delaware",1327
"14000US10003015200","10003015200","Census Tract 152, New Castle County, Delaware",2016
"14000US10003015400","10003015400","Census Tract 154, New Castle County, Delaware",1088
"14000US10003015502","10003015502","Census Tract 155.02, New Castle County, Delaware",1091
"14000US10003015600","10003015600","Census Tract 156, New Castle County, Delaware",872
"14000US10003015802","10003015802","Census Tract 158.02, New Castle County, Delaware",808
"14000US10003015900","10003015900","Census Tract 159, New Castle County, Delaware",1225
"14000US10003016000","10003016000","Census Tract 160, New Castle County, Delaware",1128
"14000US10003016100","10003016100","Census Tract 161, New Castle County, Delaware",956
"14000US10003016200","10003016200","Census Tract 162, New Castle County, Delaware",1177
"14000US10003016301","10003016301","Census Tract 163.01, New Castle County, Delaware",2095
"14000US10003016302","10003016302","Census Tract 163.02, New Castle County, Delaware",2711
"14000US10003016305","10003016305","Census Tract 163.05, New Castle County, Delaware",3099
"14000US10003016401","10003016401","Census Tract 164.01, New Castle County, Delaware",1844
"14000US10003016404","10003016404","Census Tract 164.04, New Castle County, Delaware",1067
"14000US10003016601","10003016601","Census Tract 166.01, New Castle County, Delaware",3720
"14000US10003016602","10003016602","Census Tract 166.02, New Castle County, Delaware",2030
"14000US10003016604","10003016604","Census Tract 166.04, New Castle County, Delaware",3995
"14000US10003016608","10003016608","Census Tract 166.08, New Castle County, Delaware",1379
"14000US10003016801","10003016801","Census Tract 168.01, New Castle County, Delaware",1723
"14000US10003016804","10003016804","Census Tract 168.04, New Castle County, Delaware",1997
"14000US10003016901","10003016901","Census Tract 169.01, New Castle County, Delaware",899
"14000US10003016904","10003016904","Census Tract 169.04, New Castle County, Delaware",526
"14000US10003980100","10003980100","Census Tract 9801, New Castle County, Delaware",0
"14000US10003990100","10003990100","Census Tract 9901, New Castle County, Delaware",0
"14000US10005050101","10005050101","Census Tract 501.01, Sussex County, Delaware",1393
"14000US10005050103","10005050103","Census Tract 501.03, Sussex County, Delaware",2109
"14000US10005050104","10005050104","Census Tract 501.04, Sussex County, Delaware",1513
"14000US10005050105","10005050105","Census Tract 501.05, Sussex County, Delaware",2190
"14000US10005050200","10005050200","Census Tract 502, Sussex County, Delaware",1129
"14000US10005050301","10005050301","Census Tract 503.01, Sussex County, Delaware",2639
"14000US10005050302","10005050302","Census Tract 503.02, Sussex County, Delaware",1609
"14000US10005050401","10005050401","Census Tract 504.01, Sussex County, Delaware",1344
"14000US10005050403","10005050403","Census Tract 504.03, Sussex County, Delaware",1228
"14000US10005050405","10005050405","Census Tract 504.05, Sussex County, Delaware",1545
"14000US10005050406","10005050406","Census Tract 504.06, Sussex County, Delaware",1994
"14000US10005050407","10005050407","Census Tract 504.07, Sussex County, Delaware",1824
"14000US10005050408","10005050408","Census Tract 504.08, Sussex County, Delaware",1891
"14000US10005050501","10005050501","Census Tract 505.01, Sussex County, Delaware",1367
"14000US10005050503","10005050503","Census Tract 505.03, Sussex County, Delaware",1676
"14000US10005050504","10005050504","Census Tract 505.04, Sussex County, Delaware",2033
"14000US10005050601","10005050601","Census Tract 506.01, Sussex County, Delaware",2146
"14000US10005050602","10005050602","Census Tract 506.02, Sussex County, Delaware",2713
"14000US10005050701","10005050701","Census Tract 507.01, Sussex County, Delaware",2013
"14000US10005050703","10005050703","Census Tract 507.03, Sussex County, Delaware",1621
"14000US10005050704","10005050704","Census Tract 507.04, Sussex County, Delaware",2945
"14000US10005050705","10005050705","Census Tract 507.05, Sussex County, Delaware",4287
"14000US10005050706","10005050706","Census Tract 507.06, Sussex County, Delaware",2122
"14000US10005050801","10005050801","Census Tract 508.01, Sussex County, Delaware",1553
"14000US10005050802","10005050802","Census Tract 508.02, Sussex County, Delaware",1897
"14000US10005050803","10005050803","Census Tract 508.03, Sussex County, Delaware",4225
"14000US10005050901","10005050901","Census Tract 509.01, Sussex County, Delaware",1657
"14000US10005050902","10005050902","Census Tract 509.02, Sussex County, Delaware",3418
"14000US10005051003","10005051003","Census Tract 510.03, Sussex County, Delaware",3688
"14000US10005051004","10005051004","Census Tract 510.04, Sussex County, Delaware",2397
"14000US10005051005","10005051005","Census Tract 510.05, Sussex County, Delaware",3113
"14000US10005051006","10005051006","Census Tract 510.06, Sussex County, Delaware",2399
"14000US10005051007","10005051007","Census Tract 510.07, Sussex County, Delaware",4591
"14000US10005051101","10005051101","Census Tract 511.01, Sussex County, Delaware",1970
"14000US10005051102","10005051102","Census Tract 511.02, Sussex County, Delaware",2033
"14000US10005051103","10005051103","Census Tract 511.03, Sussex County, Delaware",2193
"14000US10005051201","10005051201","Census Tract 512.01, Sussex County, Delaware",2758
"14000US10005051202","10005051202","Census Tract 512.02, Sussex County, Delaware",1610
"14000US10005051203","10005051203","Census Tract 512.03, Sussex County, Delaware",2099
"14000US10005051204","10005051204","Census Tract 512.04, Sussex County, Delaware",2692
"14000US10005051205","10005051205","Census Tract 512.05, Sussex County, Delaware",1813
"14000US10005051301","10005051301","Census Tract 513.01, Sussex County, Delaware",3693
"14000US10005051302","10005051302","Census Tract 513.02, Sussex County, Delaware",1849
"14000US10005051303","10005051303","Census Tract 513.03, Sussex County, Delaware",4255
"14000US10005051305","10005051305","Census Tract 513.05, Sussex County, Delaware",2103
"14000US10005051306","10005051306","Census Tract 513.06, Sussex County, Delaware",3015
"14000US10005051400","10005051400","Census Tract 514, Sussex County, Delaware",1553
"14000US10005051500","10005051500","Census Tract 515, Sussex County, Delaware",2446
"14000US10005051701","10005051701","Census Tract 517.01, Sussex County, Delaware",1542
"14000US10005051702","10005051702","Census Tract 517.02, Sussex County, Delaware",2220
"14000US10005051801","10005051801","Census Tract 518.01, Sussex County, Delaware",1976
"14000US10005051802","10005051802","Census Tract 518.02, Sussex County, Delaware",1807
"14000US10005051900","10005051900","Census Tract 519, Sussex County, Delaware",1586
"14000US10005990000","10005990000","Census Tract 9900, Sussex County, Delaware",0